  Time_points  !emo.dat
  11
  Time[s]  Power_El[MW]  Power_Ion[MW]
   0.000000e+00     0.000000e+00     0.000000e+00
   1.600000e+00     0.000000e+00     0.000000e+00
   3.500000e+00     0.000000e+00     0.000000e+00
   4.610000e+00     0.000000e+00     0.000000e+00
   7.820000e+00     0.000000e+00     0.000000e+00
   1.138000e+01     0.000000e+00     0.000000e+00
   1.210000e+01     0.000000e+00     0.000000e+00
   1.401400e+01     0.000000e+00     0.000000e+00
   1.467400e+01     0.000000e+00     0.000000e+00
   3.000000e+01     0.000000e+00     0.000000e+00
   6.289000e+03     0.000000e+00     0.000000e+00
